rank,palabra,frecuencia
1,energía,29816
2,sistema,26895
3,campo,16758
4,tiempo,16564
8,luz,16179
9,teoría,15545
10,física,14292
11,punto,14054
13,partícula,13650
14,velocidad,13625
15,universidad,13415
18,temperatura,12609
19,nuclear,12441
20,eléctrico,11998
21,fuerza,11965
22,ecuación,11889
23,número,11669
24,efecto,11426
27,material,11294
28,masa,11011
29,agua,10786
30,movimiento,10638
31,físico,10493
34,superficie,9810
35,valor,9796
36,cuántico,9567
37,proceso,9528
39,color,9299
40,modelo,9260
43,electrón,9000
44,espacio,8899
45,presión,8824
48,grupo,8382
50,elemento,8221
51,objeto,8169
52,pequeño,8021
53,investigación,8018
54,tierra,8010
55,carga,7834
56,científico,7817
57,cuerpo,7771
58,momento,7609
59,imagen,7591
61,unidad,7555
62,encontrar,7332
63,medida,7332
65,magnético,7288
66,gas,7283
67,cantidad,7236
68,ley,7204
69,constante,7196
70,método,7158
71,longitud,7148
72,relación,7118
73,ciencia,7102
74,término,7056
75,calor,7010
78,corriente,6955
80,resultado,6944
81,estudio,6885
83,cambio,6803
84,químico,6732
86,átomo,6702
87,radiación,6675
88,problema,6640
89,estructura,6607
90,distancia,6566
92,aire,6480
93,frecuencia,6342
94,propiedad,6317
97,flujo,6154
178,sol,4417
99,principio,6068
107,mecánica,5825
111,potencial,5634
112,tecnología,5626
114,eje,5436
115,plano,5431
117,medir,5399
118,materia,5398
119,dirección,5349
120,convertir,5347
121,centro,5341
123,fluido,5284
126,molécula,5177
127,rotación,5149
128,densidad,5145
129,diferencia,5112
130,fase,5092
133,reacción,5067
138,experimento,4967
139,líquido,4965
140,solución,4962
141,real,4939
142,área,4932
144,fenómeno,4916
145,estrella,4910
147,componente,48957
153,posición,4731
154,serie,4726
155,enlace,4713
158,dimensión,4631
159,núcleo,4628
161,potencia,4615
162,información,4598
163,volumen,4595
165,universo,4574
167,sólido,4532
172,ángulo,4473
177,radio,4442
181,interacción,4411
186,óptico,4345
190,rayo,4228
194,señal,4187
199,escala,4139
200,determinar,4132
202,observar,4077
215,límite,3931
216,medio,3922
223,vector,3864
232,tensión,3769
233,resistencia,3757
238,simetría,3644
240,demostrar,3629
253,lineal,3485
256,cálculo,3463
263,clásico,3439
273,nobel,3326
280,equilibrio,3297
287,vapor,3266
290,máquina,3222
292,laboratorio,3219
293,láser,3217
297,espectro,3181
299,neutrón,3169
306,hidrógeno,3114
310,gravedad,3097
311,emisión,3068
313,órbita,3065
314,relatividad,3054
315,electricidad,3054
316,molecular,3035
317,cero,3031
318,vacío,3026
320,electromagnético,2989
327,coordenada,2939
328,ion,2934
331,orbital,2906
345,einstein,2800
347,naturaleza,2771
348,fórmula,2763
366,fotón,2675
372,matriz,2619
398,magnitud,2503
406,telescopio,2472
408,fusión,2470
407,acción,2472
414,cristal,2455
416,teorema,2445
420,película,2412
425,carbono,2402
458,esfera,2238
456,reloj,2253
460,agujero,2235
462,sonido,2233
461,consecuencia,2234
470,curva,2206
473,atmósfera,2199
477,probabilidad,2189
485,espejo,2170
492,emitir,2137
494,mínimo,2131
495,luna,2127
500,trayectoria,2112
518,aceleración,2052
514,newton,2058
513,geometría,2060
534,astronomía,1997
537,protón,1994
539,uranio,1992
551,causa,1945
568,cuerda,1898
569,vidrio,1895
581,tensor,1854
584,evento,1845
589,termodinámica,1831
590,espín,1829
597,isótopo,1795
598,futuro,1791
600,error,1788
605,matemática,1773
627,dispersión,1729
628,paralelo,1725
633,plasma,1712
637,suma,1706
648,cinético,1677
651,óptica,1673
654,infinito,1668
655,expansión,1664
676,dinámica,1631
691,oxígeno,1597
697,dividir,1575
711,entropía,1541
713,detector,1540
720,ruido,1530
728,evolución,1513
744,frío,1480
751,amplitud,1464
754,fisión,1457
766,planck,1444
771,resonancia,1434
776,electrodo,1428
791,caliente,1405
797,integral,1391
842,conservación,1324
856,polo,1309
859,refracción,1305
861,infrarrojo,
892,hierro,1268
895,absorber,1266
896,transmitir,1266
910,cilindro,1251
917,neutrino,1236
918,voltaje,1236
930,polarización,1222
947,difracción,1195
954,desintegración,1188
964,estadístico,1177
973,derivar,1171
978,interferencia,1169
979,finito,1166
981,bosón,1161
987,fricción,1154
994,colisión,1146
1000,segundo,1138
1006,oro,1128
1014,galaxia,1121
1016,intervalo,1118
1018,sensor,1114
1029,imán,1100
1030,acero,1100
1077,lorentz,1044
1079,maxwell,1041
1080,inverso,1041
1084,mercurio,1037
1090,oscilación,1028
1096,estabilidad,1024
1156,descarga,965
1178,fermi,949
1185,triángulo,943
1194,valencia,934
1195,pulso,933
1196,aerodinámico,932
1198,galileo,929
1201,astrofísica,926
1207,gradiente,923
1208,revolución,920
1209,pico,920
1214,horizonte,916
1222,notación,907
1224,armónico,907
1225,cuántica,906
1229,inercia,903
1236,rígido,897
1239,conductividad,894
1243,aleatorio,892
1254,plata,883
1269,elástico,874
1270,gauge,873
1271,proyección,873
1280,simulación,866
1288,correlación,859
1293,perturbación,856
1298,espectroscopia,847
1301,fractal,844
1320,aristóteles,827
1330,viscosidad,817
1341,plutonio,811
1351,fermión,806
1357,hidráulico,804
1363,atracción,797
1379,ultravioleta,788
1384,dirac,786
1386,hamiltoniano,785
1404,cobre,771
1409,schrödinger,769
1415,cosmología,765
1425,éter,761
1431,antena,759
1432,mol,758
1440,hemisferio,754
1441,supernova,753
1445,prisma,748
1446,helio,747
1450,kepler,744
1458,aproximar,741
1475,bobina,736
1485,bohr,731
1530,aluminio,709
1534,convección,706
