rank,palabra,frecuencia
0,él,39514
1,energía,29816
2,sistema,26895
3,utilizar,18968
4,año,18805
5,forma,18281
6,campo,16758
7,tiempo,16564
8,luz,16179
9,teoría,15545
10,física,14292
11,punto,14054
12,ejemplo,13964
13,partícula,13650
14,velocidad,13625
15,universidad,13415
16,tipo,12653
17,onda,12626
18,temperatura,12609
19,nuclear,12441
20,eléctrico,11998
21,fuerza,11965
22,ecuación,11889
23,número,11669
24,efecto,11426
25,producir,11385
26,caso,11321
27,material,11294
28,masa,11011
29,agua,10786
30,movimiento,10638
31,físico,10493
32,the,10280
33,alto,10205
34,superficie,9810
35,valor,9796
36,cuántico,9567
37,proceso,9528
38,permitir,9377
39,color,9299
40,modelo,9260
41,referencias,9100
42,función,9037
43,electrón,9000
44,espacio,8899
45,presión,8824
46,general,8728
47,trabajo,8524
48,grupo,8382
49,obtener,8334
50,elemento,8221
51,objeto,8169
52,pequeño,8021
53,investigación,8018
54,tierra,8010
55,carga,7834
56,científico,7817
57,cuerpo,7771
58,momento,7609
59,imagen,7591
60,incluir,7577
61,unidad,7555
62,encontrar,7332
63,medida,7332
64,lugar,7330
65,magnético,7288
66,gas,7283
67,cantidad,7236
68,ley,7204
69,constante,7196
70,método,7158
71,longitud,7148
72,relación,7118
73,ciencia,7102
74,término,7056
75,calor,7010
76,unidos,6996
77,premio,6961
78,corriente,6955
79,and,6949
80,resultado,6944
81,estudio,6885
82,línea,6863
83,cambio,6803
84,químico,6732
85,aplicación,6723
86,átomo,6702
87,radiación,6675
88,problema,6640
89,estructura,6607
90,distancia,6566
91,formar,6525
92,aire,6480
93,frecuencia,6342
94,propiedad,6317
95,vea,6297
96,llamado,6226
97,flujo,6154
98,solar,6093
99,principio,6068
100,nivel,6061
101,importante,6010
102,enlaces,5967
103,conocido,5956
104,referencia,5950
105,fuente,5940
106,usar,5926
107,mecánica,5825
108,principal,5818
109,inglés,5685
110,nombre,5676
111,potencial,5634
112,tecnología,5626
113,describir,5571
114,eje,5436
115,plano,5431
116,desarrollo,5426
117,medir,5399
118,materia,5398
119,dirección,5349
120,convertir,5347
121,centro,5341
122,depender,5330
123,fluido,5284
124,desarrollar,5259
125,representar,5197
126,molécula,5177
127,rotación,5149
128,densidad,5145
129,diferencia,5112
130,fase,5092
131,base,5089
132,poder,5075
133,reacción,5067
134,condición,5051
135,conjunto,5038
136,mostrar,5032
137,historia,4991
138,experimento,4967
139,líquido,4965
140,solución,4962
141,real,4939
142,área,4932
143,definir,4931
144,fenómeno,4916
145,estrella,4910
146,considerar,4899
147,componente,4895
148,conocer,4879
149,diseño,4817
150,trabajar,4800
151,vida,4768
152,motor,4764
153,posición,4731
154,serie,4726
155,enlace,4713
156,red,4684
157,siglo,4651
158,dimensión,4631
159,núcleo,4628
160,pasar,4623
161,potencia,4615
162,información,4598
163,volumen,4595
164,presentar,4586
165,universo,4574
166,bajo,4568
167,sólido,4532
168,dispositivo,4531
169,atómico,4493
170,aumentar,4488
171,recibir,4480
172,ángulo,4473
173,nacional,4470
174,similar,4460
175,menor,4459
176,externo,4456
177,radio,4442
178,sol,4417
179,proyecto,4417
180,técnica,4413
181,interacción,4411
182,dato,4384
183,producto,4383
184,cuyo,4358
185,crear,4355
186,óptico,4345
187,externos,4338
188,térmico,4333
189,ver,4267
190,rayo,4228
191,necesario,4219
192,instituto,4204
193,matemático,4192
194,señal,4187
195,mantener,4184
196,combustible,4182
197,mundo,4180
198,relacionado,4174
199,escala,4139
200,determinar,4132
201,comenzar,4104
202,observar,4077
203,contener,4057
204,utilizado,4053
205,reactor,4049
206,generar,4037
207,estudiar,4036
208,ciencias,4026
209,aplicar,4018
210,compuesto,4008
211,llamar,3992
212,orden,3971
213,central,3944
214,capacidad,3940
215,límite,3931
216,medio,3922
217,aparecer,3912
218,reducir,3908
219,espacial,3894
220,tener,3888
221,capa,3888
222,superior,3881
223,vector,3864
224,concepto,3855
225,electrónico,3835
226,miembro,3833
227,natural,3824
228,artículo,3823
229,llegar,3817
230,distinto,3786
231,estándar,3782
232,tensión,3769
233,resistencia,3757
234,internacional,3751
235,tomar,3700
236,calcular,3670
237,planeta,3645
238,simetría,3644
239,tamaño,3643
240,demostrar,3629
241,común,3616
242,requerir,3611
243,único,3593
244,país,3564
245,hora,3558
246,mecánico,3558
247,cambiar,3552
248,máximo,3549
249,región,3545
250,factor,3531
251,producción,3522
252,ocurrir,3502
253,lineal,3485
254,prueba,3483
255,profesor,3478
256,cálculo,3463
257,mayoría,3458
258,libro,3455
259,objetivo,3450
260,soler,3446
261,generalmente,3440
262,denominar,3439
263,clásico,3439
264,persona,3411
265,guerra,3405
266,libre,3402
267,construir,3397
268,simple,3385
269,equipo,3384
270,mover,3371
271,grado,3363
272,llevar,3353
273,nobel,3326
274,proporcionar,3323
275,academia,3320
276,fundamental,3314
277,análisis,3309
278,complejo,3309
279,metal,3301
280,equilibrio,3297
281,control,3295
282,negro,3294
283,alcanzar,3279
284,dar,3279
285,publicar,3274
286,basado,3267
287,vapor,3266
288,humano,3265
289,idea,3243
290,máquina,3222
291,establecer,3221
292,laboratorio,3219
293,láser,3217
294,zona,3215
295,medición,3213
296,ingeniería,3205
297,espectro,3181
298,especial,3174
299,neutrón,3169
300,característica,3165
301,definición,3151
302,resultar,3145
303,realizar,3143
304,explicar,3123
305,distribución,3116
306,hidrógeno,3114
307,construcción,3113
308,tal,3108
309,escribir,3103
310,gravedad,3097
311,emisión,3068
312,par,3066
313,órbita,3065
314,relatividad,3054
315,electricidad,3054
316,molecular,3035
317,cero,3031
318,vacío,3026
319,seguir,3008
320,electromagnético,2989
321,programa,2978
322,deber,2976
323,variable,2954
324,obra,2943
325,teórico,2940
326,determinado,2939
327,coordenada,2939
328,ion,2934
329,década,2926
330,descubrir,2923
331,orbital,2906
332,servicio,2904
333,asociado,2902
334,intensidad,2900
335,origen,2893
336,química,2885
337,mecanismo,2880
338,energético,2872
339,completo,2870
340,particular,2857
341,cerca,2856
342,emplear,2833
343,indicar,2830
344,millón,2806
345,einstein,2800
346,observación,2783
347,naturaleza,2771
348,fórmula,2763
349,cámara,2763
350,interno,2762
351,normal,2761
352,ciclo,2760
353,sentido,2742
354,circuito,2735
355,específico,2728
356,muestra,2724
357,arma,2717
358,parámetro,2702
359,tubo,2701
360,interior,2700
361,estadounidense,2699
362,sustancia,2697
363,capaz,2694
364,diverso,2682
365,rojo,2676
366,fotón,2675
367,peso,2654
368,volver,2653
369,rápido,2652
370,paso,2648
371,bomba,2648
372,matriz,2619
373,dicho,2604
374,continuo,2588
375,significar,2586
376,bibliografía,2583
377,operación,2576
378,coeficiente,2575
379,equivalente,2572
380,mundial,2566
381,formación,2562
382,corresponder,2560
383,angular,2553
384,positivo,2543
385,generación,2542
386,original,2535
387,contacto,2532
388,antiguo,2531
389,variación,2528
390,planta,2526
391,referir,2519
392,inicial,2515
393,operador,2513
394,cumplir,2506
395,expresión,2506
396,creer,2505
397,ciudad,2503
398,magnitud,2503
399,causar,2498
400,banda,2497
401,mes,2492
402,isbn,2486
403,estar,2484
404,poseer,2479
405,actividad,2474
406,telescopio,2472
407,acción,2472
408,fusión,2470
409,descubrimiento,2466
410,proponer,2465
411,relativo,2460
412,empresa,2456
413,moderno,2456
414,cristal,2455
415,lograr,2449
416,teorema,2445
417,negativo,2445
418,basar,2444
419,fuerte,2414
420,película,2412
421,blanco,2409
422,sociedad,2404
423,sección,2403
424,medalla,2403
425,carbono,2402
426,introducir,2399
427,evitar,2397
428,seguridad,2393
429,unido,2389
430,consistir,2387
431,físicos,2382
432,unión,2381
433,expresar,2378
434,instalación,2377
435,instrumento,2367
436,muerte,2356
437,metro,2355
438,alemania,2349
439,john,2343
440,razón,2343
441,haber,2329
442,actual,2322
443,venir,2320
444,rango,2307
445,local,2294
446,actualmente,2294
447,quedar,2292
448,papel,2287
449,transmisión,2285
450,observador,2283
451,españa,2279
452,normalmente,2279
453,cercano,2260
454,suponer,2259
455,transición,2256
456,reloj,2253
457,cuadrado,2246
458,esfera,2238
459,parte,2237
460,agujero,2235
461,consecuencia,2234
462,sonido,2233
463,azul,2223
464,concentración,2218
465,francia,2218
466,período,2216
467,clase,2215
468,definido,2210
469,experimental,2209
470,curva,2206
471,versión,2202
472,extremo,2200
473,atmósfera,2199
474,existencia,2196
475,principalmente,2194
476,funcionar,2192
477,probabilidad,2189
478,hacer,2188
479,dejar,2188
480,necesitar,2187
481,comportamiento,2182
482,exterior,2181
483,transformación,2175
484,especialmente,2172
485,espejo,2170
486,útil,2164
487,actuar,2161
488,público,2154
489,pérdida,2152
490,rueda,2149
491,alemán,2141
492,emitir,2137
493,directamente,2135
494,mínimo,2131
495,luna,2127
496,mezcla,2124
497,visión,2119
498,índice,2119
499,tratar,2114
500,trayectoria,2112
501,vehículo,2112
502,inferior,2106
503,posteriormente,2104
504,siguiente,2103
505,interés,2101
506,implicar,2097
507,detectar,2091
508,julio,2083
509,diciembre,2069
510,célula,2065
511,avión,2064
512,corto,2062
513,geometría,2060
514,newton,2058
515,formado,2057
516,disminuir,2056
517,precisión,2056
518,aceleración,2052
519,marzo,2038
520,calendario,2036
521,diámetro,2034
522,sur,2029
523,independiente,2028
524,for,2026
525,provocar,2020
526,suelo,2011
527,altura,2005
528,palabra,2004
529,terrestre,2002
530,dado,2000
531,enero,1999
532,norte,1998
533,ser,1997
534,astronomía,1997
535,ambiente,1997
536,septiembre,1996
537,protón,1994
538,digital,1993
539,uranio,1992
540,finalmente,1988
541,variar,1985
542,aumento,1984
543,director,1983
544,figura,1976
545,puesto,1972
546,eficiencia,1966
547,edificio,1961
548,miembros,1960
549,descripción,1957
550,society,1954
551,causa,1945
552,circular,1940
553,fondo,1938
554,correspondiente,1931
555,básico,1929
556,desplazamiento,1924
557,adicional,1921
558,conductor,1915
559,ojo,1912
560,cabo,1910
561,representación,1910
562,producido,1905
563,continuar,1902
564,usado,1902
565,octubre,1901
566,reino,1900
567,época,1898
568,cuerda,1898
569,vidrio,1895
570,directo,1889
571,comunicación,1887
572,resolver,1886
573,denominado,1886
574,investigador,1885
575,derivado,1881
576,padre,1873
577,presente,1872
578,fijo,1871
579,visible,1864
580,york,1854
581,tensor,1854
582,funcionamiento,1852
583,iluminación,1847
584,evento,1845
585,contenido,1840
586,oscuro,1840
587,ofrecer,1839
588,vista,1838
589,termodinámica,1831
590,espín,1829
591,verde,1825
592,aproximación,1818
593,canal,1813
594,francés,1810
595,industria,1806
596,metálico,1802
597,isótopo,1795
598,futuro,1791
599,gobierno,1790
600,error,1788
601,mayo,1784
602,crítico,1782
603,junio,1780
604,transporte,1775
605,matemática,1773
606,cable,1772
607,posible,1770
608,transferencia,1768
609,mejorar,1766
610,vuelo,1763
611,realidad,1763
612,suficiente,1763
613,permanecer,1759
614,servir,1755
615,doble,1755
616,abril,1753
617,viento,1750
618,gravitatorio,1749
619,posibilidad,1749
620,técnico,1748
621,español,1745
622,entrada,1741
623,estable,1739
624,escuela,1737
625,estación,1732
626,existir,1729
627,dispersión,1729
628,paralelo,1725
629,unir,1724
630,conducir,1717
631,especie,1716
632,véase,1714
633,plasma,1712
634,tabla,1711
635,familia,1708
636,nube,1706
637,suma,1706
638,presencia,1702
639,salida,1698
640,entrar,1697
641,reflexión,1692
642,placa,1692
643,rendimiento,1691
644,contribución,1686
645,combinación,1681
646,carrera,1680
647,honor,1678
648,cinético,1677
649,posterior,1675
650,contrario,1674
651,óptica,1673
652,agosto,1670
653,cadena,1668
654,infinito,1668
655,expansión,1664
656,patrón,1664
657,activo,1663
658,atmosférico,1663
659,variedad,1663
660,satélite,1659
661,disco,1658
662,sugerir,1657
663,temporal,1657
664,fecha,1657
665,astronómico,1654
666,situación,1649
667,aspecto,1649
668,diferencial,1648
